id,first_name,last_name,email,sex,birthday,category_preference_id,street,house_number,city_id,is_premium
1,Jennifer,Lemke,jenniferlemke@gmx.de,w,1984-01-05 00:00:00,8,Henry-Dunant-Ring,139,998,1
2,Jonas,Hoffmann,jonas.hoffmann1972@aol.com,m,1972-08-26 00:00:00,,Atrium,75,501,0
3,Leonie,Winkler,leoniewinkler@gmx.de,w,2004-12-07 00:00:00,10,Am Anger,192,1969,1
4,Lucas,Schultz,lucasschultz@yahoo.de,m,1995-11-26 00:00:00,1,Kurze Straße,102,81,0
5,Heinz,Reuter,heinzreuter@web.de,m,1964-11-10 00:00:00,7,Auf dem Emmerich,30,698,0
6,Sören,Rademacher,srademacher@t-online.de,m,1988-03-22 00:00:00,8,Am Menzog,32,383,0
7,Daniela,Wilke,daniela.wilke@dwilke.de,w,1971-12-04 00:00:00,9,Uhlandstraße,30,1563,1
8,Philipp,Graf,graf.philipp1992@gmx.de,m,1992-10-29 00:00:00,7,Ysenburgerstraße,111,971,0
9,Sebastian,Wagner,sebastianwagner1974@gmx.de,m,1974-12-20 00:00:00,8,Oberaulaer Straße,67,1769,0
10,Horst,Enders,h.enders@yahoo.de,d,1969-06-05 00:00:00,5,Mittelstraße,26,2363,0
11,Jana,Lehmann,lehmann-jana79@gmx.net,w,1979-12-13 00:00:00,,Goethestraße,25,318,1
12,Susanne,Koch,susanne.koch60@gmx.de,Keine Angabe,1960-07-23 00:00:00,10,Zur Schanze,4,27,0
13,Manja,Bühler,buehler-manja@gmail.com,w,1978-02-05 00:00:00,4,Breslauer Straße,25,1212,1
14,Matthias,Gebhardt,matthias_gebhardt@t-online.de,m,1976-05-08 00:00:00,8,Hans-Glas-Straße,72,2403,0
15,Jeannette,Heise,jeannetteheise@gmail.com,w,1967-11-02 00:00:00,4,Erlenweg,8,1645,1
16,Felix,Weidner,felix.weidner1993@web.de,m,1993-04-10 00:00:00,10,Brunnenstraße,12,1899,0
17,Peter,Schröder,pschroeder@gmx.de,m,1992-11-09 00:00:00,7,Industriestraße,60,738,0
18,Rosemarie,Meißner,romeissner@gmx.de,w,1959-10-14 00:00:00,3,Otto-Haese-Straße,145,911,1
19,Maria,Reimer,maria.reimer@yahoo.mail,w,1996-08-25 00:00:00,7,Nordstraße,45,1809,1
20,Gerd,Cramer,gerd_cramer@me.com,m,1971-08-13 00:00:00,8,Rosenweg,9,1797,0
21,Philip,Hoffmann,phoffmann@web.de,m,1985-01-19 00:00:00,7,Am Hermesgarten,40,1364,0
22,Lena,Schaller,lena_schaller@outlook.com,w,2010-04-27 00:00:00,10,Ringstraße,25,1739,1
23,Jessica,Groß,jessica-gross@outlook.com,w,1969-05-08 00:00:00,4,Im Fischfeld,17,925,1
24,Phil,Steinke,philsteinke@gmail.com,m,2006-07-14 00:00:00,10,Auf dem Melmes,111,1720,0
25,Swen,Heinrich,heinrichswen@web.de,m,1974-07-06 00:00:00,11,Holunderweg,23,675,0
26,Dustin,Zander,dustinzander@gmx.de,m,1997-04-16 00:00:00,7,Eichenweg,23,51,0
27,Isabella,Scheer,scheerisabella88@mail.de,w,1988-02-15 00:00:00,3,Hölderlinstraße,224,372,1
28,Letizia,Dreher,letiziadreher2002@gmx.net,w,2002-05-11 00:00:00,10,Neue Straße,1,2134,1
29,Julia,Keller,juliakeller1998@gmx.de,w,1998-05-26 00:00:00,11,Im tiefen Teich,12,1921,1
30,Maximilian,Krause,maximiliankrause@gmx.de,m,1990-07-16 00:00:00,3,Beckersberg,36,1823,0
31,Lidia,Reinhardt,lidiareinhardt1959@gmail.com,w,1959-05-09 00:00:00,12,Feldstraße,50,2451,1
32,Stefanie,Sattler,stefanie.sattler@gmail.com,w,1981-04-12 00:00:00,3,Am Mühlstein,34,2126,1
33,Annika,Dietz,annika_dietz93@t-online.de,w,1993-01-15 00:00:00,7,Hof Oberhöhl,14,1727,1
